Yeni sayaç seri no,Sıra No,Muhatap,Kat,Blok,Bölge,Eski sayaç üretim tarihi,Eski sayaç seri no,Eski sayaç son endeks,Kolayveri cihaz no,Not,Firma adı ve nereye ait,Akım trafo oranı,Çarpan değeri
2777742,94,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777742,0,MA-RF-3486-700D,Sayaç bağlı,A5-185 1 KAT TİCARİ OFİS (HÜSEYİN ÖNDER ALDEMİR),1,1
2777730,95,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777730,0,MA-RF-3486-700D,Sayaç bağlı,A5-186 1 KAT TİCARİ OFİS,1,1
2777607,96,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777607,0,MA-RF-3486-700D,Sayaç bağlı,A5-187 1 KAT TİCARİ OFİS,1,1
2777613,97,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777613,0,MA-RF-3486-700D,Sayaç bağlı,A5-188 1 KAT TİCARİ OFİS (CEREN SEYHAN),1,1
2777684,98,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777684,0,MA-RF-3486-700D,Sayaç bağlı,"A5-189 1 KAT TİCARİ OFİS (CİHANGİR SAĞ, TURZ)",1,1
2777529,99,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777529,0,MA-RF-3486-700D,Sayaç bağlı,A5-190 1 KAT TİCARİ OFİS,1,1
2778378,100,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2778378,0,MA-RF-3486-700D,Sayaç bağlı,"A5-191 1 KAT TİCARİ, HENÜZ BOŞ BULUNUYOR",1,1
300267469,101,Ticari ve Konut,Kat 1,A5 Elektrik Odası,Kat 1-A5 KAT1 ELEKTRİK ODASI,2016,2777709,19364,MA-RF-3486-700D,Sayaç bağlı,ORTAK ALAN,1,1
2778289,102,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778289,0,MA-RF-3486-7013,Sayaç bağlı,A1-364 TİCARİ 1 KAT  SÜPER MÜH.MEDİKAL,1,1
2778182,103,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778182,0,MA-RF-3486-7013,Sayaç bağlı,A1-365 TİCARİ 1 KAT. SÜPER MÜH.MEDİKAL,1,1
